Node1,Node2
1,2
2,3
3,4
4,5
1,3
1,4
1,5
2,4
2,5
3,5
6,1
6,2
6,3
6,4
6,5
6,7
7,1
7,2
7,3
7,4
7,5
7,8
8,1
8,2
8,3
8,4
8,5
8,6
8,9
9,1
9,2
9,3
9,4
9,5
9,6
9,7
10,2
10,17
11,3
11,8
12,5
12,9
13,1
13,9
14,5
15,4
15,6
16,8
17,2
18,7
19,20
19,21
19,24
19,23
20,21
20,25
20,26
20,24
21,22
21,25
22,23
23,10
23,12
24,10
24,12
25,26
26,27
24,27
28,22
28,21
28,25
17,18
18,14
14,15
15,16
16,11
11,13
29,17
29,18
29,30
30,14
30,15
30,31
31,16
31,11
31,32
32,11
32,13
33,23
33,28
33,22
34,23
34,13
35,26
35,25
35,36
35,37
35,38
35,39
35,40
35,41
26,41
41,40
40,39
39,38
38,37
37,36
36,25
27,41
28,36
25,36
25,37
25,38
25,39
25,40
25,41
26,36
26,37
26,38
26,39
26,40
26,41
36,38
36,39
36,40
36,41
37,39
37,40
37,41
38,40
38,41
39,41
19,22
42,27
42,24
42,19
43,27
43,42
43,38
