Node1,Node2
1,2
1,11
1,12
1,10
2,11
2,12
2,13
2,14
2,15
3,4
3,15
3,16
3,17
4,5
4,17
5,6
5,17
6,7
6,18
6,19
7,8
7,19
8,9
8,20
9,20
9,22
9,23
10,12
10,23
11,12
11,13
12,13
12,22
12,23
12,14
12,16
12,17
12,18
12,19
12,20
12,21
12,22
13,14
13,16
13,17
13,18
13,19
13,20
13,21
13,22
14,15
14,16
14,17
14,18
14,19
14,20
14,21
14,22
15,16
16,17
16,18
16,19
16,20
16,21
16,22
17,18
17,19
17,20
17,21
17,22
18,19
18,20
18,21
18,22
19,20
19,21
19,22
20,21
20,22
21,22
22,23
7,9
9,10
10,11
11,15
15,4
4,6
6,8
20,23
22,10
18,5
2,16
6,17
20,6
7,20
8,19
