Node1,Node2
1,2
1,6
2,3
2,4
2,7
3,4
3,5
4,12
4,13
5,6
5,11
6,7
7,9
11,12
12,13
12,15
13,16
14,15
15,16
15,18
16,17
17,23
17,24
18,20
18,24
18,26
19,26
20,21
20,25
21,22
22,24
23,24
25,26
26,27
29,30
27,30
25,33
33,34
34,31
1,9
1,31
5,25
19,29
25,28
20,11
1,33
9,31
29,26
29,27
29,28
30,34
14,11
27,33
35,30
35,29
36,19
36,29
37,35
37,29
38,37
38,36
38,29
19,28
19,27
19,30
19,37
19,38
26,36
35,27
35,38
35,28
37,36
37,27
36,28
26,38
30,38
30,37
13,21
16,18
15,17
15,21
15,20
15,11
13,14
17,18
16,20
14,23
12,23
11,17
22,16
22,17
22,18
24,20
12,20
12,21
12,14
18,23
11,21
6,9
6,31
39,7
39,9
40,39
40,9
41,40
41,31
41,9
4,42
42,3
2,42
34,43
34,44
34,45
43,44
39,46
39,47
39,48
46,47
47,48
44,45
1,2
